kind,code,SuperClassCode,currency,definition,fdacode,fdaterm,imdrfcode,imdrfterm,inclusion,preferred,pronunciation,report,termlevel
layer2,D10-e0035,D10_PatientProblem,Y,,,,,,,かぶれ,かぶれ,not report,L1
layer3,D10-e0036,D10-e0035,Y,身体の同じ場所を長時間圧迫することにより皮ふと皮ふ組織が死滅した状態のこと,-,-,E201401,,,かぶれ,かぶれ,report,L2
layer2,D10-e0037,D10_PatientProblem,Y,,,,,,,脳障害,のうしょうがい,not report,L1
layer3,D10-e0038,D10-e0037,Y,頭部へ外力が加わり、酸素不足が起こり脳が損傷を受けること,-,-,E0102,,,脳障害,のうしょうがい,report,L2
layer2,D10-e0039,D10_PatientProblem,Y,,,,,,,傷害,しょうがい,not report,L1
layer3,D10-e0040,D10-e0039,Y,患者又は操作者に傷を負わせること,2348,Injury,E2402,,,傷害,しょうがい,report,L2
layer2,D10-e0041,D10_PatientProblem,Y,,,,,,,低体温症,ていたいおんしょう,not report,L1
layer3,D10-e0042,D10-e0041,Y,深部体温が、正常な生体活動の維持に必要な水準を下回ったときに生じる様々な症状のこと,1915,Hypothermia,E230103,,,低体温症,ていたいおんしょう,report,L2
layer2,D10-e0043,D10_PatientProblem,Y,,,,,,,感電,かんでん,not report,L1
layer3,D10-e0044,D10-e0043,Y,生体を電流が流れること。電流が心臓を通過すると心停止、呼吸停止、ショックなどの重篤な症状をひき起こし、死亡（電撃死）することもある,1827,Electrocution,E2104,,,感電,かんでん,report,L2
layer2,D10-e0045,D10_PatientProblem,Y,,,,,,,低酸素症,ていさんそしょう,not report,L1
layer3,D10-e0046,D10-e0045,Y,生体の組織に十分酸素が行きわたらず、組織の酸化による代謝が不十分である状態のこと,1918,Hypoxia,E0726,,動脈血酸素飽和度低下,低酸素症,どうみゃくけつさんそほうわどていか,report,L2
layer2,D10-e0047,D10_PatientProblem,Y,,,,,,,感染,かんせん,not report,L1
layer3,D10-e0048,D10-e0047,Y,病原微生物が人体に侵入し、臓器や組織中で増殖し、種々の症状をもたらすこと,1930,Infection,E1906,,,感染,かんせん,report,L2
layer2,D10-e0049,D10_PatientProblem,Y,,,,,,,苦痛,くつう,not report,L1
layer3,D10-e0050,D10-e0049,Y,苦しみや痛み,2329,Distress,E2330,,,苦痛,くつう,report,L2
layer1,D10_Component,D10,,,,,,,,,,,
layer2,D10-g0051,D10_Component,Y,,,,G04034,,,コネクター,こねくたー,report,L1
layer2,D10-g0052,D10_Component,Y,,,,G02020,,,ヒーターワイヤ,ひーたーわいや,report,L1
layer2,D10-g0053,D10_Component,Y,,,,G04003,,,アダプター,あだぷたー,report,L1
layer2,D10-g0054,D10_Component,Y,,,,G04054,,,フィルター,ふぃるたー,report,L1
terminology,D11,,,,,,,,,,,,
layer1,D11_DeviceProblem,D11,,,,,,,,,,,
layer2,D11-a0001,D11_DeviceProblem,Y,,,,,,,動作不良,どうさふりょう,not report,L1
layer3,D11-a0002,D11-a0001,Y,意図した作動をしないこと,3026,Unintended Movement,A150101,,,動作不良,どうさふりょう,report,L2
layer2,D11-a0003,D11_DeviceProblem,Y,,,,,,,性能不良,せいのうふりょう,not report,L1
layer3,D11-a0004,D11-a0003,Y,意図した濃度が投与されない,-,-,A140504,,,濃度不良,のうどふりょう,report,L2
layer2,D11-a0005,D11_DeviceProblem,Y,,,,,,,アラーム,あらーむ,not report,L1
layer3,D11-a0006,D11-a0005,Y,アラームが発生したが、警報音が鳴らない,1019,Not Audible Alarm Not Audible Alarm,A160102,,,アラーム音不良,あらーむおんふりょう,report,L2
layer3,D11-a0007,D11-a0005,Y,アラームが発生し、警報音はなっているが、音量が小さく聞き取れない,1016,Low Audible Alarm Low Audible Alarm,A160103,,,アラーム音小さい,あらーむおんちいさい,report,L2
layer3,D11-a0008,D11-a0005,Y,アラームは発生していないが、アラーム音又は警報ランプが誤作動する,2951,Improper Alarm,A160105,,,アラーム誤作動,あらーむごさどう,report,L2
layer2,D11-a0009,D11_DeviceProblem,Y,,,,,,,不適切使用,ふてきせつしよう,not report,L1
layer3,D11-a0010,D11-a0009,Y,意図しない接続部や周辺機器に誤って接続すること,1399,Misconnection Misconnection,A1206,,,誤接続,ごせつぞく,report,L2
layer3,D11-a0011,D11-a0009,Y,意図しない方法で機器を使用すること,1487,Device Difficult to Setup or Prepare Device Difficult to Setup or Prepare,A23,,,機器の誤使用,ききのごしよう,report,L2
layer3,D11-a0012,D11-a0009,Y,意図しない方法で周辺機器を使用すること,-,-,A2303,,,周辺機器の誤使用,しゅうへんききのごしよう,report,L2
layer2,D11-a0013,D11_DeviceProblem,Y,,,,,,,接続不良,せつぞくふりょう,not report,L1
layer3,D11-a0014,D11-a0013,Y,意図しない箇所よりガスリークすること,1354,LeakLeak,A050402,,,ガスリーク,がすりーく,report,L2
layer2,D11-a0015,D11_DeviceProblem,Y,,,,,,,故障,こしょう,not report,L1
layer3,D11-a0016,D11-a0015,Y,設定のため操作しても、設定が出来ない,1663,Device Inoperable Device Inoperable,A150105,,,ノブの故障,のぶのこしょう,report,L2
layer3,D11-a0017,D11-a0015,Y,操作しても反応が無く、機能しない,1663,Device Inoperable Device Inoperable,A150105,,,スイッチの故障,すいっちのこしょう,report,L2
layer3,D11-a0018,D11-a0015,Y,構成部品の固着部（ねじ、接着等）の結合力が弱まり、正常状態に比べて部品が動いてしまうこと,1371,Loose or Intermittent ConnectionLoose or Intermittent Connection,A0511,,,ゆるみ,ゆるみ,report,L2
layer3,D11-a0019,D11-a0015,Y,構成部品間の隙間が拡がり、正常状態に比べて部品が動いてしまうこと,1371,Loose or Intermittent ConnectionLoose or Intermittent Connection,A051207,,,がたつき,がたつき,report,L2
layer3,D11-a0020,D11-a0015,Y,機械的影響や化学的影響等により構成部品の全体又は一部の性能が経時的に低下すること,1153,Degraded Degraded,A0405,,,劣化,れっか,report,L2
layer3,D11-a0021,D11-a0015,Y,構成部品の全体又は一部が壊れたり傷ついたりすること,1069,BreakBreak,A0401,,,破損,はそん,report,L2
layer3,D11-a0022,D11-a0015,Y,外力等により構成部品の全体又は一部の形状が初期状態と異なること,2976,Material Deformation Material Deformation,A0406,,,変形,へんけい,report,L2
layer3,D11-a0023,D11-a0015,Y,構成部品の全体又は一部が外れて機械的に分離すること,1261,Material Fragmentation,A0501,,,脱落,だつらく,report,L2
layer3,D11-a0024,D11-a0015,Y,構成部品の一部が繰り返し使用によりすり減ること,2988,Naturally Worn,A040507,,,磨耗,まもう,report,L2
layer3,D11-a0025,D11-a0015,Y,表示部が正しく表示しない状態,1184,Incorrect Display,A0902,,,表示部の不良,ひょうじぶのふりょう,report,L2
layer2,D11-a0026,D11_DeviceProblem,Y,,,,,,,表示不良,ひょうじふりょう,not report,L1
layer3,D11-a0027,D11-a0026,Y,表示された内容が不適切なこと,1184,Incorrect Display,A0902,,,表示不良,ひょうじふりょう,report,L2
layer2,D11-a0028,D11_DeviceProblem,Y,,,,,,,意図しない効果,いとしないこうか,not report,L1
layer3,D11-a0029,D11-a0028,Y,装置を転倒させたため生じた破損等,2589,Tip-over Tip-over,A051202,,,転倒,てんとう,report,L2
layer3,D11-a0030,D11-a0028,Y,構成部品の隙間から機器の内部に水などの液体が浸入すること,1405,Moisture damage,A18,,,水漏れ,みずもれ,report,L2
layer3,D11-a0031,D11-a0028,Y,ガス等への引火による破壊作用を伴う急激な化学変化又は物理変化のこと,1218,Explode,A0403,,,爆発,ばくはつ,report,L2
layer2,D11-a0032,D11_DeviceProblem,Y,,,,,,,異物,いぶつ,not report,L1
layer3,D11-a0033,D11-a0032,Y,構成部品の表面又は内面に汚物、異物、汚れ等が付着すること,1259,Foreign material,A18,,,付着物,ふちゃくぶつ,report,L2
layer1,D11_PatientProblem,D11,,,,,,,,,,,
layer2,D11-e0034,D11_PatientProblem,Y,,,,,,,傷害,しょうがい,not report,L1
layer3,D11-e0035,D11-e0034,Y,患者又は操作者に傷を負わせること,2348,Injury,E2402,,,傷害,しょうがい,report,L2
layer2,D11-e0036,D11_PatientProblem,Y,,,,,,,呼吸不全,こきゅうふぜん,not report,L1
layer3,D11-e0037,D11-e0036,Y,吸気、動脈血、または組織の酸素が正常値未満の値に減少するもの,1918,Hypoxia,E0726,,低酸素状態,低酸素症,ていさんそじょうたい,report,L2
layer3,D11-e0038,D11-e0036,Y,動脈血中の酸素が不足した状態。低酸素環境下、呼吸中枢障害、神経筋障害、肺疾患などによる低換気等が原因,2045,Respiratory distress,E2203,,,低酸素血症,ていさんそけっしょう,report,L2
layer3,D11-e0039,D11-e0036,Y,循環不全または呼吸不全などにより、十分な酸素供給ができなくなり脳に障害をきたした病態,1833,Encephalopathy,E0115,,,低酸素脳症,ていさんそのうしょう,report,L2
layer3,D11-e0040,D11-e0036,Y,血中の還元ヘモグロビンの濃度が過剰になることで皮膚および粘膜が青みがかった色に変色した状態,1798,Cyanosis,E2305,,,チアノーゼ,ちあのーぜ,report,L2
layer3,D11-e0041,D11-e0036,Y,動脈血中ヘモグロビンのうち、酸化ヘモグロビン量の割合が低下した状態,2477,"Oxygen Saturation, Low",E2203,,SPO2低下,動脈血酸素飽和度低下,えすぴーおーつーていか,report,L2
layer3,D11-e0042,D11-e0036,Y,酸素の不在または欠如で、体組織内の酸素が正常値未満の値に減少するもの,1711,Anoxia,E0726,,,無酸素症,むさんそしょう,report,L2
layer2,D11-e0043,D11_PatientProblem,Y,,,,,,,循環障害,じゅんかんしょうがい,not report,L1
layer3,D11-e0044,D11-e0043,Y,血圧が低下すること,1720,Apnea,E2321,,,血圧低下,けつあつていか,report,L2
layer3,D11-e0045,D11-e0043,Y,心臓の拍動回数が低下すること,1720,Apnea,E060104,,,心拍数低下,しんぱくすうていか,report,L2
layer2,D11-e0046,D11_PatientProblem,Y,,,,,,,意識障害,いしきしょうがい,not report,L1
layer3,D11-e0047,D11-e0046,Y,意識の清明度が低い状態のこと,1720,Apnea,E014302,,意識混濁,意識レベルの低下,いしきこんだく,report,L2
layer3,D11-e0048,D11-e0046,Y,意識を失った状態のこと,1720,Apnea,E0119,,意識消失,意識不明,いしきしょうしつ,report,L2
layer2,D11-e0049,D11_PatientProblem,Y,,,,,,,痛み,いたみ,not report,L1
layer3,D11-e0050,D11-e0049,Y,頭部が痛む状態のこと,2079,Soreness,E0116,,,頭痛,ずつう,report,L2
layer3,D11-e0051,D11-e0049,Y,のどが痛む状態のこと,2079,Soreness,E0747,,,のどの痛み,のどのいたみ,report,L2
layer2,D11-e0052,D11_PatientProblem,Y,,,,,,,感染,かんせん,not report,L1
layer3,D11-e0053,D11-e0052,Y,病原微生物が人体に侵入し、臓器や組織中で増殖し、種々の症状をもたらすこと,1930,Infection,E1906,,感染症,感染,かんせんしょう,report,L2
layer2,D11-e0054,D11_PatientProblem,Y,,,,,,,ショック,しょっく,not report,L1
layer3,D11-e0055,D11-e0054,Y,過剰な免疫反応。以前に曝露し感作した特定のアレルゲンと接触した後に生体に発生する局所または全身の反応,1701,Allergic reaction,E0402,,ショック,アレルギー反応,しょっく,report,L2
layer3,D11-e0056,D11-e0054,Y,反応の激しい、全身性のアレルギー,1703,"Shock, anaphylactic",E040201,,,アナフィラキシー,あなふぃらきしー,report,L2
layer2,D11-e0057,D11_PatientProblem,Y,,,,,,,心停止,しんていし,not report,L1
layer3,D11-e0058,D11-e0057,Y,心臓の拍動が完全に停止した状態又は心室細動の状態,1762,Cardiac Arrest,E0602,,,心停止,しんていし,report,L2
layer2,D11-e0059,D11_PatientProblem,N,,,,,,,その他の健康被害,そのたのけんこうひがい,not report,L1
layer3,D11-e0060,D11-e0059,N,不適切な使用や、機器の異状に伴い健康を害すること,2200,Other (for use when an appropriate patient code cannot be identified),E2402,,,その他の健康被害,そのたのけんこうひがい,report,L2
layer2,D11-e0061,D11_PatientProblem,Y,,,,,,,汚染,おせん,not report,L1
layer3,D11-e0062,D11-e0061,Y,デバイスを通じて患者本人以外の血液、体液に接触することにより患者が汚染されること,1745,Contamination from blood/fluids,E2105,,,汚染,おせん,report,L2
layer1,D11_Component,D11,,,,,,,,,,,
layer2,D11-g0063,D11_Component,Y,,,,G04079,,,濃度設定ノブ,のうどせっていのぶ,report,L1
layer2,D11-g0064,D11_Component,Y,,,,G04045,,,ダイヤフラム,だいやふらむ,report,L1
layer2,D11-g0065,D11_Component,Y,,,,G04092,,,ニードル,にーどる,report,L1
layer2,D11-g0066,D11_Component,Y,,,,G04054,,,フィルター,ふぃるたー,report,L1
layer2,D11-g0067,D11_Component,Y,,,,G06001,,,アラームリード,あらーむりーど,report,L1
layer2,D11-g0068,D11_Component,Y,,,,G04132,,,ウォータートラップ,うぉーたーとらっぷ,report,L1
layer2,D11-g0069,D11_Component,Y,,,,G0301202,,,酸素セル,さんそせる,report,L1
terminology,D12,,,,,,,,,,,,
layer1,D12_DeviceProblem,D12,,,,,,,,,,,
layer2,D12-a0001,D12_DeviceProblem,Y,,,,,,,動作不良,どうさふりょう,not report,L1
layer3,D12-a0002,D12-a0001,Y,意図した作動をしないこと,3026,Unintended Movement Unintended Movement,A150101,,,誤動作,ごどうさ,report,L2
layer3,D12-a0003,D12-a0001,Y,機器からガスが全く流れないこと,2339,Inaccurate Delivery,A140801,,,ガス供給不可,がすきょうきゅうふか,report,L2
layer2,D12-a0004,D12_DeviceProblem,Y,,,,,,,性能不良,せいのうふりょう,not report,L1
layer3,D12-a0005,D12-a0004,Y,意図した性能（流量）を発揮しない事,1249,Inaccurate Flowrate,A1405,,,流量不良,りゅうりょうふりょう,report,L2
layer2,D12-a0006,D12_DeviceProblem,Y,,,,,,,不適切使用,ふてきせつしよう,not report,L1
layer3,D12-a0007,D12-a0006,Y,意図しない接続部や周辺機器に誤って接続すること,1399,Misconnection Misconnection,A1206,,,誤接続,ごせつぞく,report,L2
layer3,D12-a0008,D12-a0006,Y,意図しない方法で機器を使用すること,1631,Unexpected Therapeutic Results,A23,,,機器の誤使用,ききのごしよう,report,L2
layer3,D12-a0009,D12-a0006,Y,意図しない方法で周辺機器を使用すること,1631,Unexpected Therapeutic Results,A2303,,,周辺機器の誤使用,しゅうへんききのごしよう,report,L2
layer2,D12-a0010,D12_DeviceProblem,Y,,,,,,,故障,こしょう,not report,L1
layer3,D12-a0011,D12-a0010,Y,ノブを操作しても、所定の設定にすることが出来ない,1663,Device Inoperable Device Inoperable,A150105,,,ノブの故障,のぶのこしょう,report,L2
layer3,D12-a0012,D12-a0010,Y,スイッチ部を入り切り操作しても、機能せず設定することが出来ない,1663,Device Inoperable Device Inoperable,A150105,,,スイッチの故障,すいっちのこしょう,report,L2
layer3,D12-a0013,D12-a0010,Y,構成部品の固着部（ねじ、接着等）の結合力が弱まり、正常状態に比べて部品が動いてしまうこと,1371,Loose or Intermittent ConnectionLoose or Intermittent Connection,A0511,,,ゆるみ,ゆるみ,report,L2
layer3,D12-a0014,D12-a0010,Y,構成部品間の隙間が拡がり、正常状態に比べて部品が動いてしまうこと,1371,Loose or Intermittent ConnectionLoose or Intermittent Connection,A051207,,,がたつき,がたつき,report,L2
layer3,D12-a0015,D12-a0010,Y,機械的影響や化学的影響等により構成部品の全体又は一部の性能が経時的に低下すること,1153,Degraded Degraded,A0405,,,劣化,れっか,report,L2
layer3,D12-a0016,D12-a0010,Y,構成部品の全体又は一部が壊れたり傷ついたりすること,1069,BreakBreak,A0401,,,破損,はそん,report,L2
layer3,D12-a0017,D12-a0010,Y,構成部品の全体又は一部が外れて機械的に分離すること,1261,Material Fragmentation,A0501,,,脱落,だつらく,report,L2
layer3,D12-a0018,D12-a0010,Y,構成部品の一部が繰り返し使用によりすり減ること,2988,Naturally Worn,A040507,,,磨耗,まもう,report,L2
layer3,D12-a0019,D12-a0010,Y,機器の意図しない部分からガスがもれること,1354,LeakLeak,A050402,,,ガス漏れ,がすもれ,report,L2
layer3,D12-a0020,D12-a0010,Y,規定の供給圧以下で安全弁が作動すること,-,-,A160201,,,安全弁誤作動,あんぜんべんごさどう,report,L2
layer2,D12-a0021,D12_DeviceProblem,Y,,,,,,,表示不良,ひょうじふりょう,not report,L1
layer3,D12-a0022,D12-a0021,Y,表示部が正しく表示しない状態,1184,Incorrect Display,A0902,,,表示部の不良,ひょうじぶのふりょう,report,L2
layer2,D12-a0023,D12_DeviceProblem,Y,,,,,,,意図しない効果,いとしないこうか,not report,L1
layer3,D12-a0024,D12-a0023,Y,製品を落下させたため生じた破損など,1105,Component Falling,A051203,,,落下,らっか,report,L2
layer3,D12-a0025,D12-a0023,Y,外力等により構成部品の全体又は一部の形状が初期状態と異なること,1059,Bend,A0406,,,変形,へんけい,report,L2
layer2,D12-a0026,D12_DeviceProblem,Y,,,,,,,発火,はっか,not report,L1
layer3,D12-a0027,D12-a0026,Y,酸素ガスの急激な弁の開放や、油の使用による発火,2943,Flashpoint Threshold Met Flashpoint Threshold Met,A1007,,,引火,いんか,report,L2
layer2,D12-a0028,D12_DeviceProblem,Y,,,,,,,異物,いぶつ,not report,L1
layer3,D12-a0029,D12-a0028,Y,構成部品の表面に汚物、異物、汚れ等が付着すること,1259,Foreign material,A18,,,付着物,ふちゃくぶつ,report,L2
layer1,D12_PatientProblem,D12,,,,,,,,,,,
layer2,D12-e0030,D12_PatientProblem,Y,,,,,,,傷害,しょうがい,not report,L1
layer3,D12-e0031,D12-e0030,Y,患者又は操作者に傷を負わせること,2348,Injury,E2402,,,傷害,しょうがい,report,L2
layer2,D12-e0032,D12_PatientProblem,Y,,,,,,,呼吸不全,こきゅうふぜん,not report,L1
layer3,D12-e0033,D12-e0032,Y,吸気、動脈血、または組織の酸素が正常値未満の値に減少するもの,1918,Hypoxia,E0726,,低酸素状態,低酸素症,ていさんそじょうたい,report,L2
layer3,D12-e0034,D12-e0032,Y,動脈血中の酸素が不足した状態。低酸素環境下、呼吸中枢障害、神経筋障害、肺疾患などによる低換気等が原因,2045,Respiratory distress,E2203,,,低酸素血症,ていさんそけっしょう,report,L2
layer3,D12-e0035,D12-e0032,Y,循環不全または呼吸不全などにより、十分な酸素供給ができなくなり脳に障害をきたした病態,1833,Encephalopathy,E0115,,,低酸素脳症,ていさんそのうしょう,report,L2
layer3,D12-e0036,D12-e0032,Y,血中の還元ヘモグロビンの濃度が過剰になることで皮膚および粘膜が青みがかった色に変色した状態,1798,Cyanosis,E2305,,,チアノーゼ,ちあのーぜ,report,L2
layer3,D12-e0037,D12-e0032,Y,動脈血中ヘモグロビンのうち、酸化ヘモグロビン量の割合が低下した状態,2477,"Oxygen Saturation, Low",E2203,,SPO2低下,動脈血酸素飽和度低下,えすぴーおーつーていか,report,L2
layer3,D12-e0038,D12-e0032,Y,呼吸数が減少すること,2485,"Respiratory rate, decreased",E0715,,,呼吸数、減少,こきゅうすう、げんしょう,report,L2
layer3,D12-e0039,D12-e0032,Y,換気の回路上に漏洩あるいは遮断があり、患者に到達すべき換気量が得られない状態,1816,Dyspnea,E0725,,,換気困難,かんきこんなん,report,L2
layer3,D12-e0040,D12-e0032,Y,酸素の不在または欠如で、体組織内の酸素が正常値未満の値に減少するもの,1711,Anoxia,E0726,,,無酸素症,むさんそしょう,report,L2
layer2,D12-e0041,D12_PatientProblem,Y,,,,,,,循環障害,じゅんかんしょうがい,not report,L1
layer3,D12-e0042,D12-e0041,Y,血圧が低下すること,1720,Apnea,E2321,,,血圧低下,けつあつていか,report,L2
layer3,D12-e0043,D12-e0041,Y,心臓の拍動回数が低下すること,1720,Apnea,E060104,,,心拍数低下,しんぱくすうていか,report,L2
layer2,D12-e0044,D12_PatientProblem,Y,,,,,,,意識障害,いしきしょうがい,not report,L1
layer3,D12-e0045,D12-e0044,Y,意識の清明度が低い状態のこと,1720,Apnea,E014302,,意識混濁,意識レベルの低下,いしきこんだく,report,L2
layer3,D12-e0046,D12-e0044,Y,意識を失った状態のこと,1720,Apnea,E0119,,意識消失,意識不明,いしきしょうしつ,report,L2
layer2,D12-e0047,D12_PatientProblem,Y,,,,,,,無呼吸,むこきゅう,not report,L1
layer3,D12-e0048,D12-e0047,Y,呼吸の停止,2044,Respiratory arrest,E0741,,,呼吸停止,こきゅうていし,report,L2
layer3,D12-e0049,D12-e0047,Y,呼吸ができなくなること。また、血液中の酸素が減少し、二酸化炭素が過剰になる状態,2088,Suffocation,E0710,,,窒息,ちっそく,report,L2
layer2,D12-e0050,D12_PatientProblem,Y,,,,,,,痛み,いたみ,not report,L1
layer3,D12-e0051,D12-e0050,Y,頭部が痛む状態のこと,2079,Soreness,E0116,,,頭痛,ずつう,report,L2
layer3,D12-e0052,D12-e0050,Y,のどが痛む状態のこと,2079,Soreness,E0747,,,のどの痛み,のどのいたみ,report,L2
layer2,D12-e0053,D12_PatientProblem,Y,,,,,,,感染,かんせん,not report,L1
layer3,D12-e0054,D12-e0053,Y,病原微生物が人体に侵入し、臓器や組織中で増殖し、種々の症状をもたらすこと,1930,Infection,E1906,,感染症,感染,かんせんしょう,report,L2
layer2,D12-e0055,D12_PatientProblem,Y,,,,,,,見逃し,みのがし,not report,L1
layer3,D12-e0056,D12-e0055,Y,医師による不正な診断、または誤った診断,2159,Misdiagnosis,F13,,誤診,見逃し,ごしん,report,L2
layer3,D12-e0057,D12-e0055,N,使用者側に欠点、欠陥のあること,-,-,E2402,,,使用者瑕疵,しようしゃかし,report,L2
layer2,D12-e0058,D12_PatientProblem,Y,,,,,,,心停止,しんていし,not report,L1
layer3,D12-e0059,D12-e0058,Y,心臓の拍動が完全に停止した状態又は心室細動の状態,1762,Cardiac Arrest,E0602,,,心停止,しんていし,report,L2
layer2,D12-e0060,D12_PatientProblem,N,,,,,,,その他の健康被害,そのたのけんこうひがい,not report,L1
layer3,D12-e0061,D12-e0060,N,不適切な使用や、機器の異状に伴い健康を害すること,2200,Other (for use when an appropriate patient code cannot be identified),E2402,,,その他の健康被害,そのたのけんこうひがい,report,L2
layer2,D12-e0062,D12_PatientProblem,N,,,,,,,適用外使用,てきようがいしよう,not report,L1
layer3,D12-e0063,D12-e0062,N,不適切な使用,-,-,E2402,,,適用外使用,てきようがいしよう,report,L2
layer2,D12-e0064,D12_PatientProblem,Y,,,,,,,汚染,おせん,not report,L1
layer3,D12-e0065,D12-e0064,Y,デバイスを通じて患者本人以外の血液、体液に接触することにより患者が汚染されること,1745,Contamination from blood/fluids,E2105,,,汚染,おせん,report,L2
layer1,D12_Component,D12,,,,,,,,,,,
layer2,D12-g0066,D12_Component,Y,,,,G0300702,,,圧力計,あつりょくけい,report,L1
layer2,D12-g0067,D12_Component,Y,,,,G04113,,,パッキン,ぱっきん,report,L1
layer2,D12-g0068,D12_Component,Y,,,,G04045,,,ダイヤフラム,だいやふらむ,report,L1
layer2,D12-g0069,D12_Component,Y,,,,G06007,,,安全弁,あんぜんべん,report,L1
terminology,E01,,,,,,,,,,,,
layer1,E01_DeviceProblem,E01,,,,,,,,,,,
layer2,E01-a0001,E01_DeviceProblem,Y,,,,,,,損傷,そんしょう,not report,L1
layer3,E01-a0002,E01-a0001,Y,穴が開いた状態,1293,Hole in Material,A0410,,ピンホール,穴,ぴんほーる,report,L2
layer3,E01-a0003,E01-a0001,Y,管状のものや棒状のものに曲げ負荷がかかって壊れること,-,-,A0401,,キンク,折れ,きんく,report,L2
layer3,E01-a0004,E01-a0001,Y,医療機器又はその部品が、壁などを貫いた（突き抜けた）状態又は突かれた状態,2205,Material Perforation,A0502,,カットアウト,貫通,かっとあうと,report,L2
layer3,E01-a0005,E01-a0001,Y,擦過状に付いた痕,2915,Device or Device Component Damaged by another Device,A0415,,,キズ,きず,report,L2
layer3,E01-a0006,E01-a0001,Y,ひび状に一部が割れること,1135,Crack,A0404,,クラック,亀裂,くらっく,report,L2
layer3,E01-a0007,E01-a0001,Y,引っ張り力、剪断力など負荷によって耐えきれずに二つ以上に分かれてしまうこと,2454,Cut in Material,A0414,,離断,切断,りだん,report,L2
layer3,E01-a0008,E01-a0001,Y,層状に構成されているものの一部分が剥がれること。（コーティング材、ラベルなど）,1454,Peeled,A040506,,剥がれ,剥離,はがれ,report,L2
layer3,E01-a0009,E01-a0001,Y,気体、液体などの圧力により膨張するなどして物体が割れること,2537,Split,A0402,,バースト,破裂,ばーすと,report,L2
layer2,E01-a0010,E01_DeviceProblem,Y,,,,,,,異物,いぶつ,not report,L1
layer3,E01-a0011,E01-a0010,Y,異物が付着したり混入していること,-,-,A18,,,異物混入,いぶつこんにゅう,report,L2
layer2,E01-a0012,E01_DeviceProblem,Y,,,,,,,機能,きのう,not report,L1
layer3,E01-a0013,E01-a0012,Y,バルーン、ステントが膨らまない（展開しない）こと,-,-,A040604,,膨張不能,拡張不能,ぼうちょうふのう,report,L2
layer3,E01-a0014,E01-a0012,Y,製品の全体、一部について意図しない収縮が発生すること,2977,Material Distortion,A0406,,,収縮,しゅうしゅく,report,L2
layer3,E01-a0015,E01-a0012,Y,収縮を意図した操作に反応しない及び意図したタイミングに収縮しないこと,1149,Deflation Issue,A1401,,収縮不良,収縮不能,しゅうしゅくふりょう,report,L2
layer3,E01-a0016,E01-a0012,Y,留置した部位から取り去ることができないこと。また、注入した物質が抜けないこと,-,-,A150207,,抜去困難,抜去不能,ばっきょこんなん,report,L2
layer3,E01-a0017,E01-a0012,Y,体内の目的部位へ適切に留置できないこと,1467,Difficult to Position,A150201,,設置困難,留置困難,せっちこんなん,report,L2
layer2,E01-a0018,E01_DeviceProblem,Y,,,,,,,固定,こてい,not report,L1
layer3,E01-a0019,E01-a0018,Y,接合、接続している部分が外れること,-,-,A12,,脱転,外れ,だってん,report,L2
layer3,E01-a0020,E01-a0018,Y,接続部分、固定などが緩むこと,-,-,A051207,,がたつき,緩み,がたつき,report,L2
layer2,E01-a0021,E01_DeviceProblem,Y,,,,,,,形状,けいじょう,not report,L1
layer3,E01-a0022,E01-a0021,Y,製品、構成部品の全体または一部がつぶれること,1339,Kinked,A0406,,,潰れ,つぶれ,report,L2
layer3,E01-a0023,E01-a0021,Y,捻れた状態,2981,Material Twisted,A040609,,,捻れ,ねじれ,report,L2
layer3,E01-a0024,E01-a0021,Y,製品、構成部品の全体または一部がへこむこと,2526,Dent in Material,A040602,,陥没,凹み,かんぼつ,report,L2
layer3,E01-a0025,E01-a0021,Y,製品、構成部品の全体または一部が、原寸より長くなった状態,-,-,A040611,,アンラベル,伸び,あんらべる,report,L2
layer3,E01-a0026,E01-a0021,Y,チューブなどの管状のものや棒状のものに曲げ負荷がかかって弓状に変形すること,2889,Buckled Material,A040601,,ひずみ,曲がり,ひずみ,report,L2
layer2,E01-a0027,E01_DeviceProblem,Y,,,,,,,抜け,ぬけ,not report,L1
layer3,E01-a0028,E01-a0027,Y,患者に挿入した医療機器が意図せずに抜けること。患者自身が抜去してしまう場合は、自己抜去,1395,Migration of Device or Device Component,A0512,,抜去,事故抜去,ばっきょ,report,L2
layer2,E01-a0029,E01_DeviceProblem,Y,,,,,,,流量,りゅうりょう,not report,L1
layer3,E01-a0030,E01-a0029,Y,すぼまって狭いこと。カテーテル・チューブなどの内腔が何らかの原因で狭くなること,1094,Device Clogged,A140902,,,狭窄,きょうさく,report,L2
layer3,E01-a0031,E01-a0029,Y,流路部分などが塞がってしまうこと,1423,Occlusion within Device,A1409,,閉塞,詰まり,へいそく,report,L2
layer2,E01-a0032,E01_DeviceProblem,Y,,,,,,,漏れ,もれ,not report,L1
layer3,E01-a0033,E01-a0032,Y,液体、ガスなど（血液、体液を含む）が流路又は医療機器外部に漏れること,1354,Leak,A0504,,リーク,漏れ,りーく,report,L2
layer2,E01-a0034,E01_DeviceProblem,Y,,,,,,,使用,しよう,not report,L1
layer3,E01-a0035,E01-a0034,Y,目的とは異なる部位に留め置くこと,-,-,A150202,,病変外留置,異所留置,びょうへんがいりゅうち,report,L2
